날짜,호선,역명,구분,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시
2024-02-08,2호선,잠실(송파구청),승차,1937,5066,6552,4260,2696,2699,3141,3684,4038,5023,5883,6214,6684,4907,5468,4487,3011,1114
2024-02-08,2호선,잠실(송파구청),하차,684,2814,6234,5801,3754,3634,3745,4241,4868,5270,6705,7586,7673,4264,3119,2621,2278,1693
2024-02-08,8호선,잠실(송파구청),승차,161,373,456,393,395,495,616,847,1159,1545,1812,1777,2061,1370,1216,1216,786,365
2024-02-08,8호선,잠실(송파구청),하차,363,1173,3159,1763,1117,1087,1150,1165,1209,1390,1340,1504,1637,832,490,307,237,151
2024-02-09,2호선,잠실(송파구청),승차,361,510,853,1052,1344,1780,2167,2284,2539,3121,3865,4200,3776,3391,3070,4009,2973,567
2024-02-09,2호선,잠실(송파구청),하차,573,525,1296,2256,2808,3152,3409,3589,3765,3288,3632,3458,2977,2068,1472,1350,1228,705
2024-02-09,8호선,잠실(송파구청),승차,66,70,130,150,169,297,401,514,634,834,874,1104,1101,843,841,937,706,181
2024-02-09,8호선,잠실(송파구청),하차,141,197,386,555,761,975,1119,1011,1034,1054,955,883,776,461,297,187,120,114
2024-02-10,2호선,잠실(송파구청),승차,337,433,619,628,885,1160,1396,1859,2405,2747,3586,4430,3966,3442,3305,3483,2005,464
2024-02-10,2호선,잠실(송파구청),하차,443,544,897,1568,2409,3091,3421,3481,3062,3235,3247,2611,2075,1509,1139,1108,813,421
2024-02-10,8호선,잠실(송파구청),승차,68,73,103,107,93,172,202,346,521,695,841,970,918,917,758,704,535,153
2024-02-10,8호선,잠실(송파구청),하차,122,165,250,340,518,840,961,920,918,893,866,717,556,370,236,165,108,45
2024-02-11,2호선,잠실(송파구청),승차,311,391,728,1085,1365,1907,2318,2945,3438,4163,5011,5248,4767,4563,5013,4496,2734,732
