date,weather_code,precipitation_sum,snowfall_sum,weather_category,weather_label,weather_label_ko
2024-12-05,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-06,1,0.0,0.0,clear,Clear,맑음
2024-12-07,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-08,0,0.0,0.0,clear,Clear,맑음
2024-12-09,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-10,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-11,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-12,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-13,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-14,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-15,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-16,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-17,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-18,0,0.0,0.0,clear,Clear,맑음
2024-12-19,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-20,73,0.9,0.63,precipitation,Precipitation,비/눈
2024-12-21,75,2.4,1.61,precipitation,Precipitation,비/눈
2024-12-22,0,0.0,0.0,clear,Clear,맑음
2024-12-23,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-24,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-25,51,0.1,0.0,precipitation,Precipitation,비/눈
2024-12-26,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-27,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-28,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-29,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-30,51,0.3,0.0,precipitation,Precipitation,비/눈
2024-12-31,51,0.1,0.0,precipitation,Precipitation,비/눈
2025-01-01,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-02,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-03,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-04,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-05,75,7.2,4.48,precipitation,Precipitation,비/눈
2025-01-06,75,3.0,1.68,precipitation,Precipitation,비/눈
2025-01-07,2,0.0,0.0,cloudy,Cloudy,흐림
2025-01-08,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-09,0,0.0,0.0,clear,Clear,맑음
2025-01-10,0,0.0,0.0,clear,Clear,맑음
2025-01-11,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-12,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-13,73,0.6,0.35,precipitation,Precipitation,비/눈
2025-01-14,51,0.4,0.0,precipitation,Precipitation,비/눈
2025-01-15,1,0.0,0.0,clear,Clear,맑음
2025-01-16,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-17,1,0.0,0.0,clear,Clear,맑음
2025-01-18,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-19,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-20,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-21,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-22,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-23,0,0.0,0.0,clear,Clear,맑음
2025-01-24,0,0.0,0.0,clear,Clear,맑음
2025-01-25,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-26,51,0.1,0.0,precipitation,Precipitation,비/눈
2025-01-27,73,7.2,4.62,precipitation,Precipitation,비/눈
2025-01-28,71,0.1,0.07,precipitation,Precipitation,비/눈
2025-01-29,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-30,3,0.0,0.0,cloudy,Cloudy,흐림
2025-01-31,73,2.9,1.96,precipitation,Precipitation,비/눈
2025-02-01,3,0.0,0.0,cloudy,Cloudy,흐림
2025-02-02,3,0.0,0.0,cloudy,Cloudy,흐림
2025-02-03,3,0.0,0.0,cloudy,Cloudy,흐림
2025-02-04,2,0.0,0.0,cloudy,Cloudy,흐림
2025-02-05,3,0.0,0.0,cloudy,Cloudy,흐림
2025-02-06,73,1.5,1.05,precipitation,Precipitation,비/눈
2025-02-07,73,0.8,0.56,precipitation,Precipitation,비/눈
2025-02-08,2,0.0,0.0,cloudy,Cloudy,흐림
2025-02-09,0,0.0,0.0,clear,Clear,맑음
2025-02-10,71,0.1,0.07,precipitation,Precipitation,비/눈
2025-02-11,3,0.0,0.0,cloudy,Cloudy,흐림
2025-02-12,73,2.5,1.61,precipitation,Precipitation,비/눈
2025-02-13,0,0.0,0.0,clear,Clear,맑음
2025-02-14,3,0.0,0.0,cloudy,Cloudy,흐림
2025-02-15,3,0.0,0.0,cloudy,Cloudy,흐림
2025-02-16,3,0.0,0.0,cloudy,Cloudy,흐림
2025-02-17,2,0.0,0.0,cloudy,Cloudy,흐림
2025-02-18,1,0.0,0.0,clear,Clear,맑음
2025-02-19,0,0.0,0.0,clear,Clear,맑음
2025-02-20,0,0.0,0.0,clear,Clear,맑음
2025-02-21,1,0.0,0.0,clear,Clear,맑음
2025-02-22,3,0.0,0.0,cloudy,Cloudy,흐림
2025-02-23,2,0.0,0.0,cloudy,Cloudy,흐림
2025-02-24,0,0.0,0.0,clear,Clear,맑음
2025-02-25,3,0.0,0.0,cloudy,Cloudy,흐림
2025-02-26,1,0.0,0.0,clear,Clear,맑음
2025-02-27,3,0.0,0.0,cloudy,Cloudy,흐림
2025-02-28,3,0.0,0.0,cloudy,Cloudy,흐림
2025-03-01,61,2.3,0.0,precipitation,Precipitation,비/눈
2025-03-02,63,15.4,0.0,precipitation,Precipitation,비/눈
2025-03-03,75,12.5,5.46,precipitation,Precipitation,비/눈
2025-03-04,75,3.5,2.45,precipitation,Precipitation,비/눈
2025-03-05,3,0.0,0.0,cloudy,Cloudy,흐림
2025-03-06,3,0.0,0.0,cloudy,Cloudy,흐림
2025-03-07,3,0.0,0.0,cloudy,Cloudy,흐림
2025-03-08,3,0.0,0.0,cloudy,Cloudy,흐림
2025-03-09,3,0.0,0.0,cloudy,Cloudy,흐림
2025-03-10,3,0.0,0.0,cloudy,Cloudy,흐림
2025-03-11,3,0.0,0.0,cloudy,Cloudy,흐림
2025-03-12,51,0.1,0.0,precipitation,Precipitation,비/눈
2025-03-13,3,0.0,0.0,cloudy,Cloudy,흐림
2025-03-14,3,0.0,0.0,cloudy,Cloudy,흐림
2025-03-15,53,0.5,0.0,precipitation,Precipitation,비/눈
2025-03-16,51,0.9,0.0,precipitation,Precipitation,비/눈
2025-03-17,71,0.3,0.21,precipitation,Precipitation,비/눈
2025-03-18,73,3.0,1.96,precipitation,Precipitation,비/눈
2025-03-19,3,0.0,0.0,cloudy,Cloudy,흐림
2025-03-20,0,0.0,0.0,clear,Clear,맑음
2025-03-21,0,0.0,0.0,clear,Clear,맑음
2025-03-22,0,0.0,0.0,clear,Clear,맑음
2025-03-23,3,0.0,0.0,cloudy,Cloudy,흐림
2025-03-24,53,0.7,0.0,precipitation,Precipitation,비/눈
2025-03-25,51,0.2,0.0,precipitation,Precipitation,비/눈
2025-03-26,3,0.0,0.0,cloudy,Cloudy,흐림
2025-03-27,63,6.6,0.0,precipitation,Precipitation,비/눈
2025-03-28,3,0.0,0.0,cloudy,Cloudy,흐림
2025-03-29,75,2.1,1.26,precipitation,Precipitation,비/눈
2025-03-30,71,0.6,0.35,precipitation,Precipitation,비/눈
2025-03-31,3,0.0,0.0,cloudy,Cloudy,흐림
