일자,요일,지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,요일(2)
20230111,수,원효대교,C-08,유입,원효대교남단->원효대교북단,554.0,393.0,197.0,137.0,229.0,581.0,1143.0,1855.0,2332.0,2200.0,2012.0,1827.0,1615.0,1713.0,1939.0,1875.0,1733.0,1867.0,1661.0,1145.0,1008.0,1001.0,781.0,643.0,
20230111,수,원효대교,C-08,유출,원효대교북단->원효대교남단,378.0,227.0,181.0,129.0,158.0,278.0,551.0,1268.0,1529.0,1232.0,1141.0,1208.0,1099.0,1257.0,1435.0,1391.0,1667.0,1675.0,1583.0,1356.0,1014.0,924.0,708.0,523.0,
20230111,수,한강대교,C-09,유입,한강대교남단->한강대교북단,888.0,682.0,520.0,409.0,541.0,1195.0,2276.0,2936.0,2572.0,2606.0,2622.0,2602.0,2365.0,1745.0,1663.0,2010.0,2111.0,2017.0,1908.0,1725.0,1547.0,1675.0,1537.0,1227.0,
20230111,수,한강대교,C-09,유출,한강대교북단->한강대교남단,1197.0,879.0,703.0,465.0,500.0,970.0,1693.0,1943.0,1915.0,1741.0,1764.0,1853.0,1839.0,1723.0,1692.0,2278.0,2641.0,3394.0,4172.0,3466.0,2809.0,2452.0,2159.0,1585.0,
20230112,목,서강대교,C-06,유입,서강대교남단->서강대교북단,248.0,157.0,136.0,108.0,125.0,238.0,539.0,839.0,1083.0,1223.0,1177.0,1048.0,1038.0,1058.0,1016.0,1049.0,1136.0,1485.0,2012.0,1177.0,724.0,693.0,522.0,365.0,
20230112,목,서강대교,C-06,유출,서강대교북단->서강대교남단,307.0,218.0,150.0,256.0,254.0,296.0,618.0,1671.0,2153.0,1631.0,1252.0,1286.0,1150.0,1421.0,1331.0,1594.0,1487.0,1479.0,1188.0,878.0,873.0,854.0,796.0,515.0,
20230112,목,마포대교,C-07,유입,마포대교남단->마포대교북단,1201.0,814.0,481.0,394.0,490.0,1298.0,2847.0,3862.0,4222.0,4077.0,3959.0,3890.0,3756.0,3392.0,3479.0,3177.0,3301.0,4099.0,4205.0,3312.0,2758.0,2803.0,2306.0,1645.0,
20230112,목,마포대교,C-07,유출,마포대교북단->마포대교남단,821.0,548.0,433.0,415.0,513.0,819.0,1957.0,3753.0,3623.0,3150.0,2676.0,2793.0,2500.0,3053.0,2862.0,3135.0,3361.0,3515.0,3564.0,3219.0,2991.0,2777.0,2346.0,1375.0,
20230112,목,원효대교,C-08,유입,원효대교남단->원효대교북단,574.0,390.0,215.0,182.0,180.0,633.0,1114.0,1927.0,2396.0,2164.0,2075.0,1913.0,1634.0,1658.0,1652.0,1674.0,1540.0,1669.0,1726.0,1100.0,1028.0,1007.0,844.0,703.0,
20230112,목,원효대교,C-08,유출,원효대교북단->원효대교남단,422.0,279.0,177.0,142.0,156.0,286.0,583.0,1309.0,1598.0,1222.0,1112.0,1202.0,1074.0,1278.0,1341.0,1570.0,1850.0,1803.0,1556.0,1367.0,1044.0,1050.0,765.0,549.0,
